	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
83	BDPN(psi)		0.6974311947836481	0.6525865347191493	0.7439201745376472	0.1845892584921837	0.1845892584921837	0.1845892584921837	45.00683361118154	37.70444207516319	53.400000548033645	3.7782869950321634	3.5353440392458286	4.030137943097853	5.417433322873141	5.417433322873141	5.417433322873141	0.5902480128601294	0.4911289013218899	0.7079663903300619	0.4430354731137848	0.3886713692121566	0.4984802675688273	0.0222188481118022	0.0187265915681123	0.026522073924513	BDPN(psi)
83	BDPN(lambda)		0.7454212683312307	0.7454212683312307	0.7454212683312307	0.106131085447427	0.0861880060058619	0.1298214171981498	44.54463299495307	37.35291881160959	52.78600499376822	7.023590357044653	7.023590357044653	7.023590357044653	9.422310115685743	7.702889258046485	11.602542468983296	0.8435732306564782	0.6929190388102775	0.9999608101149062	0.4429835044708797	0.3889495103635084	0.498025501984408	0.0224493936253397	0.0189444152880684	0.0267716695726919	BDPN(lambda)
83	real	506.0	0.7454212683312307			0.18458925849218374			38.04474184932898			4.03827001863597			5.417433322873141			0.4611774489897764			0.5156002256254592			0.0262848412524486			
83	BDPN(p)		0.7387853207379265	0.6935293241960797	0.7856297402974792	0.1855577492494679	0.1533412476104617	0.2222376006148754	44.7503243841564	37.51106142760082	53.052227946062615	3.981430706753655	3.7375389979735294	4.233882677900244	5.389157844631852	4.499688609097884	6.5214025292159885	0.4611774489897764	0.4611774489897764	0.4611774489897764	0.4362897008146473	0.3826489594850102	0.4910297822968187	0.0223462067317224	0.0188493497580664	0.0266588030821275	BDPN(p)
84	BDPN(lambda)		0.5517219679785471	0.5517219679785471	0.5517219679785471	0.1092786301144788	0.088526988356699	0.1336244667347856	30.772975481972583	25.59626299282543	36.60590209540151	5.048763581686287	5.048763581686287	5.048763581686287	9.150919982730509	7.483659425820376	11.295990280057088	0.3699728425420162	0.3076366103547419	0.444150116573782	0.3944773360677739	0.3451485733551758	0.4454425688901947	0.0324960451284868	0.0273179990864265	0.0390682030529338	BDPN(lambda)
84	BDPN(psi)		0.532605234044966	0.5035655194166553	0.562540615807345	0.138277886126246	0.138277886126246	0.138277886126246	30.917000280812523	25.72926750664115	36.765525224959845	3.8517021699240015	3.6416923452019367	4.068189293071434	7.23181434149935	7.23181434149935	7.23181434149935	0.3354203771141376	0.2808402935934343	0.399793318674188	0.3943997809394756	0.3448886512826641	0.4455193927534835	0.0323446644537702	0.0271993938310748	0.0388662444331881	BDPN(psi)
84	real	533.0	0.5517219679785471			0.13827788612624603			28.870354133017027			3.989950840547502			7.23181434149935			0.2768716385090466			0.4364553081983239			0.0346376076785414			
84	BDPN(p)		0.5539638115197988	0.5247698602890477	0.5839581251902493	0.1408669195143427	0.1156321408226681	0.1695029168958614	30.831419004111847	25.64887336570245	36.67249409791391	3.932533013639128	3.725288109502648	4.145459609704831	7.098898758116039	5.899603489504408	8.648114554357221	0.2768716385090466	0.2768716385090466	0.2768716385090466	0.3922667681952128	0.3431196118874889	0.4430471286286084	0.0324344461689108	0.0272683935084983	0.0389880672629151	BDPN(p)
85	BDPN(lambda)		0.1465598948975769	0.1465598948975769	0.1465598948975769	0.036623565539042	0.0290744310449286	0.0450871151204322	31.555075415507144	27.90138734649812	35.535422495297965	4.001792090432564	4.001792090432564	4.001792090432564	27.304823691564504	22.179285530442534	34.39448216388838	0.1769645706178651	0.1439282535267669	0.2171266815975414	0.7034339241526125	0.6534866877245246	0.7507496656238695	0.0316906230402659	0.0281409345880809	0.03584051171296	BDPN(lambda)
85	real	584.0	0.14655989489757698			0.05961145769627565			27.97862171956492			2.458585992718202			16.775298552420352			0.1396964387349873			0.7842419968196699			0.0357415747645896			
