	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
30	BDPN(psi)	0.2219580398852831	0.1054905632990015	9.64717171328352	0.1861518503123846	0.1283701788737652	2.104055878971536	9.479520904306945	0.1036573235887432	0.025588352210293482	0.0	0.38487033400557613	-0.007789277034484315	-0.04454827647501211	0.025588352210293566	0.0	-0.27791073615706935
30	BDPN(p)	0.2168741479524966	0.0958322034156359	9.409061457530946	0.1939411273468689	0.1319242892580579	2.26306126983105	10.4349056408823	0.1062805259072473	0.002097514244448672	-0.09155662441568377	0.3506891419200063	0.0	-0.0409941660907194	0.10309298430394002	0.10078407402860248	-0.25963719632890614
31	BDPN(lambda)	0.7632555405002416	0.0542517040477785	17.002985102510596	0.9	0.3229630797404243	14.068784638138842	18.432600736731093	0.0588132021507413	0.0	-0.6693395739710761	-0.12238575793355014	0.600443691010208	0.011605754661198009	2.024250624755821	2.0242506247558216	0.13945279379853326
31	BDPN(p)	0.8017197341481487	0.1539429338324298	17.24275432144887	0.299556308989792	0.3120543707462436	5.20790213742995	6.495913616200932	0.0579953748315061	0.05039490918427853	-0.06172834607472485	-0.11000999684920337	0.0	0.000697045667017282	0.11949977897118975	0.06578941803952307	0.12360812645056489
31	BDPN(psi)	0.770118867859927	0.1640707498605622	17.55035111966059	0.3514904513782024	0.3117776707494329	4.693821833047165	6.094931612428565	0.0569789170132192	0.008992174960416485	0.0	-0.09413329465267056	0.051934142388410376	0.0004203456702066011	0.008992174960416344	0.0	0.1039151721737882
32	BDPN(lambda)	0.2660138399096216	0.093624937401444	34.8829431581657	0.9	0.2666556499894265	2.8412712178274715	10.680915018529843	0.0286673058367184	0.0	-0.15591935066894208	-0.057043941233861736	0.18735455631767695	-0.012873443510208193	0.184720915936777	0.18472091593677678	0.06049480323452583
32	BDPN(p)	0.2623926518168405	0.1110622888821558	35.130252860023035	0.7126454436823231	0.259298024086403	2.362571980623016	9.003956338960952	0.0284654939429133	-0.013612780801222071	0.0012880277172580472	-0.050358662967614605	0.0	-0.02023106941323166	-0.014881640552969552	-0.0012863708359667756	0.05302913953280823
32	BDPN(psi)	0.2440748997722059	0.1109194215927621	35.36357412507229	0.9	0.2690973492343692	2.20047036188415	9.015553684290516	0.0282776847290165	-0.0824729275171151	0.0	-0.04405152026123224	0.18735455631767695	-0.010431744265265497	-0.08247292751711505	0.0	0.046081479488591204
33	BDPN(lambda)	0.2607543631432039	0.0608702042763429	8.520488304477372	0.9	0.3150319112083776	4.2837767055850895	16.428398949675405	0.1173641655578022	2.1288675887187986e-16	-0.14613506800003595	-0.04491342988248352	0.06495667116168413	-0.00015736592664000737	0.17114541483481652	0.17114541483481638	0.04702550667941747
33	BDPN(psi)	0.2459548324241187	0.0712878606382976	8.733556781856814	0.9	0.3149876122039429	3.4501643087881555	14.027633752032868	0.1145008872075362	-0.056756598588370955	0.0	-0.021029958185966063	0.06495667116168413	-0.00020166493107470762	-0.05675659858837098	0.0	0.02148171781334342
